This is a list of all words you can use in your custom wallet address.
Only the ADDRESS WORD can be used. The format is as follows:
ENGLISH WORD | ADDRESS WORD
----------------------------------------------------------------------------
A | A
AA | AA
AAL | AA1
AALII | AA111
AB | AB
ABA | ABA
ABAC | ABAC
ABACA | ABACA
ABACATE | ABACA7E
ABACIST | ABAC157
ABADITE | ABAD17E
ABAFF | ABAFF
ABAFT | ABAF7
ABAISSED | ABA155ED
ABAS | ABA5
ABASE | ABA5E
ABASED | ABA5ED
ABASGI | ABA561
ABASIA | ABA51A
ABASIC | ABA51C
ABATABLE | ABA7AB1E
ABATE | ABA7E
ABATIS | ABA715
ABATISED | ABA715ED
ABAZE | ABA2E
ABB | ABB
ABBA | ABBA
ABBADIDE | ABBAD1DE
ABBAS | ABBA5
ABBASI | ABBA51
ABBASSI | ABBA551
ABBASSIDE | ABBA551DE
ABBATIAL | ABBA71A1
ABBATICAL | ABBA71CA1
ABBESS | ABBE55
ABBIE | ABB1E
ABBOT | ABB07
ABDAL | ABDA1
ABDAT | ABDA7
ABDEST | ABDE57
ABDICABLE | ABD1CAB1E
ABDICATE | ABD1CA7E
ABDIEL | ABD1E1
ABE | ABE
ABED | ABED
ABEL | ABE1
ABELE | ABE1E
ABELIA | ABE11A
ABELICEA | ABE11CEA
ABELITE | ABE117E
ABET | ABE7
ABETTAL | ABE77A1
ABIDAL | AB1DA1
ABIDE | AB1DE
ABIDI | AB1D1
ABIE | AB1E
ABIES | AB1E5
ABIETATE | AB1E7A7E
ABIETIC | AB1E71C
ABIGAIL | AB16A11
ABIGEAT | AB16EA7
ABILAO | AB11A0
ABILLA | AB111A
ABILO | AB110
ABIOLOGICAL | AB101061CA1
ABIOSIS | AB10515
ABIOTIC | AB1071C
ABITIBI | AB171B1
ABLACTATE | AB1AC7A7E
ABLATE | AB1A7E
ABLAZE | AB1A2E
ABLE | AB1E
ABLEEZE | AB1EE2E
ABLEGATE | AB1E6A7E
ABLEST | AB1E57
ABO | AB0
ABODE | AB0DE
ABOIL | AB011
ABOLLA | AB011A
ABSCESS | AB5CE55
ABSCESSED | AB5CE55ED
ABSCISE | AB5C15E
ABSCISS | AB5C155
ABSCISSA | AB5C155A
ABSCISSAE | AB5C155AE
ABSCISSE | AB5C155E
ABSI | AB51
ABSIT | AB517
ACACIA | ACAC1A
ACADIA | ACAD1A
ACADIALITE | ACAD1A117E
ACADIE | ACAD1E
ACATALECTIC | ACA7A1EC71C
ACATALLACTIC | ACA7A11AC71C
ACATASTASIA | ACA7A57A51A
ACATASTATIC | ACA7A57A71C
ACATE | ACA7E
ACCA | ACCA
ACCEDE | ACCEDE
ACCESS | ACCE55
ACCESSIBLE | ACCE551B1E
ACCESSLESS | ACCE551E55
ACCIDIA | ACC1D1A
ACCIDIE | ACC1D1E
ACCITE | ACC17E
ACCOAST | ACC0A57
ACCOIL | ACC011
ACCOLADE | ACC01ADE
ACCOLADED | ACC01ADED
ACCOLATED | ACC01A7ED
ACCOLLE | ACC011E
ACCOST | ACC057
ACCOSTABLE | ACC057AB1E
ACCOSTED | ACC057ED
ACE | ACE
ACEDIA | ACED1A
ACEDIAST | ACED1A57
ACEOLOGIC | ACE01061C
ACESTES | ACE57E5
ACETACETIC | ACE7ACE71C
ACETAL | ACE7A1
ACETALIZE | ACE7A112E
ACETATE | ACE7A7E
ACETATED | ACE7A7ED
ACETIC | ACE71C
ACETIZE | ACE712E
ACETOACETATE | ACE70ACE7A7E
ACETOACETIC | ACE70ACE71C
ACETOL | ACE701
ACETOSE | ACE705E
ACID | AC1D
ACIDIC | AC1D1C
ACIDIFIABLE | AC1D1F1AB1E
ACIDIFIC | AC1D1F1C
ACIDITE | AC1D17E
ACIDIZE | AC1D12E
ACIDOID | AC1D01D
ACIDOSIS | AC1D0515
ACIDOTIC | AC1D071C
ACILIATE | AC111A7E
ACILIATED | AC111A7ED
ACIS | AC15
